lat,long,elev,time
408626011,-778365848,3322,7.81
408626004,-778365773,3322,7.82
408625997,-778365700,3322,7.83
408625990,-778365626,3322,7.84
408625984,-778365547,3322,7.85
408625978,-778365475,3322,7.86
408625973,-778365406,3323,7.87
408625968,-778365332,3322,7.88
408625964,-778365262,3322,7.89
408625960,-778365194,3322,7.9
408625957,-778365125,3322,7.91
408625956,-778365058,3322,7.92
408625953,-778364995,3322,7.93
408625951,-778364933,3322,7.94
408625947,-778364871,3322,7.95
408625946,-778364809,3322,7.96
408625948,-778364753,3322,7.97
408625953,-778364698,3322,7.98
408625955,-778364645,3322,7.99
408625958,-778364591,3321,8
408625960,-778364534,3322,8.01
408625961,-778364478,3321,8.02
408625961,-778364424,3321,8.03
408625963,-778364371,3321,8.04
408625969,-778364318,3321,8.05
408625974,-778364259,3321,8.06
408625981,-778364209,3321,8.07
408625990,-778364157,3321,8.08
408626000,-778364110,3321,8.09
408626008,-778364065,3321,8.1
408626020,-778364014,3321,8.11
408626029,-778363965,3321,8.12
408626043,-778363918,3321,8.13
408626057,-778363873,3321,8.14
408626071,-778363831,3320,8.15
408626082,-778363786,3320,8.16
408626098,-778363743,3321,8.17
408626112,-778363699,3321,8.18
408626128,-778363659,3321,8.19
408626145,-778363622,3321,8.2
408626166,-778363583,3320,8.21
408626187,-778363543,3320,8.22
408626205,-778363502,3320,8.23
408626223,-778363463,3319,8.24
408626243,-778363424,3320,8.25
408626266,-778363393,3319,8.26
408626293,-778363365,3319,8.27
408626316,-778363331,3319,8.28
408626338,-778363293,3319,8.29
408626359,-778363262,3319,8.3
408626385,-778363227,3319,8.31
408626412,-778363193,3319,8.32
408626439,-778363158,3319,8.33
408626469,-778363127,3319,8.34
408626502,-778363098,3319,8.35
408626529,-778363060,3319,8.36
408626561,-778363025,3319,8.37
408626592,-778362989,3320,8.38
408626628,-778362957,3319,8.39
408626667,-778362924,3320,8.4
408626703,-778362891,3320,8.41
408626743,-778362859,3319,8.42
408626786,-778362824,3319,8.43
408626830,-778362790,3320,8.44
408626870,-778362755,3320,8.45
408626906,-778362720,3320,8.46
408626952,-778362683,3320,8.47
408626997,-778362649,3320,8.48
408627041,-778362613,3320,8.49
408627088,-778362578,3320,8.5
408627137,-778362544,3320,8.51
408627190,-778362510,3320,8.52
408627238,-778362474,3320,8.53
408627287,-778362439,3320,8.54
408627339,-778362400,3320,8.55
408627385,-778362366,3320,8.56
